timestamp,direction,target_exposure,current_weight,rebalance,turnover_fraction,fee,price_pnl,equity
2026-08-14 20:00:00+00:00,SHORT,0.78125,-0.78125,False,0.0,0.0,0.0,9996.09375
2026-08-15 00:00:00+00:00,LONG,0.78125,-0.78125,False,0.0,0.0,-121.3647953809391,9874.72895461906
2026-08-17 16:00:00+00:00,LONG,0.71875,0.71875,False,0.0,0.0,0.0,9937.261520070651
2026-08-17 20:00:00+00:00,LONG,0.71875,0.71875,False,0.0,0.0,18.670005136898936,9955.93152520755
2026-08-18 00:00:00+00:00,SHORT,0.75,0.71875,False,0.0,0.0,-67.93189155255082,9887.999633655
2026-08-18 04:00:00+00:00,SHORT,0.75,0.71875,False,0.0,0.0,24.29444518225144,9912.29407883725
2026-08-18 08:00:00+00:00,LONG,0.75,0.71875,False,0.0,0.0,15.744469593400632,9928.038548430652
2026-08-18 12:00:00+00:00,LONG,0.6875,0.71875,False,0.0,0.0,51.68461489534685,9979.723163325998
2026-08-18 16:00:00+00:00,LONG,0.75,0.75,True,0.03125,0.1556986844981747,-15.007355442816472,9964.560109198685
2026-08-18 20:00:00+00:00,LONG,0.78125,0.75,False,0.0,0.0,5.550989921803028,9970.111099120488
2026-08-19 00:00:00+00:00,LONG,0.8125,0.75,False,0.0,0.0,10.956543521684742,9981.067642642172
2026-08-19 04:00:00+00:00,LONG,0.8125,0.75,False,0.0,0.0,1.4536782398092385,9982.521320881982
2026-08-19 08:00:00+00:00,LONG,0.78125,0.75,False,0.0,0.0,16.584427919602717,9999.105748801583
2026-08-19 12:00:00+00:00,LONG,0.25,0.75,False,0.0,0.0,358.8034371721998,10357.909185973784
2026-08-19 16:00:00+00:00,LONG,0.375,0.375,True,0.375,1.9518688904297503,52.05822965155311,10408.015546734909
2026-08-19 20:00:00+00:00,LONG,0.28125,0.375,False,0.0,0.0,140.06466293802637,10548.080209672937
2026-08-20 00:00:00+00:00,LONG,0.375,0.375,False,0.0,0.0,-33.44652589637615,10514.63368377656
2026-08-20 04:00:00+00:00,LONG,0.3125,0.375,False,0.0,0.0,39.43207849325006,10554.065762269809
