exit_time,symbol,entry_time,entry_price,exit_price,bars_held,exit_fee,equity_after_exit
2026-08-19 12:00:00+00:00,AVAX,2026-08-15 00:00:00+00:00,6.756,6.558,12,1.241265783727,9928.885004032274
2026-08-21 12:00:00+00:00,ETH,2026-08-19 12:00:00+00:00,2084.12,2391.91,12,1.477618013603193,11819.46649081194
2026-08-21 12:00:00+00:00,BTC,2026-08-19 12:00:00+00:00,68539.7,77185.7,12,1.4774333113514924,11817.989057500588
2026-08-21 12:00:00+00:00,ADA,2026-08-19 12:00:00+00:00,0.179571,0.219338,12,1.4772486321875735,11816.5118088684
2026-08-21 20:00:00+00:00,XRP,2026-08-19 20:00:00+00:00,1.10537,1.45425,12,1.4909844252606677,11926.38441766008
2026-08-23 20:00:00+00:00,DOGE,2026-08-21 20:00:00+00:00,0.0915778,0.0934041,12,1.4971290052136768,11975.5349127042
2026-08-23 20:00:00+00:00,SOL,2026-08-21 20:00:00+00:00,93.72,95.41,12,1.496941864088025,11974.03797084011
2026-08-23 20:00:00+00:00,ETH,2026-08-21 20:00:00+00:00,2515.72,2462.4,12,1.496754746355014,11972.541216093756
2026-09-05 00:00:00+00:00,ADA,2026-09-03 00:00:00+00:00,0.20473,0.210483,12,1.5038876893317947,12029.597626965024
2026-09-08 04:00:00+00:00,LINK,2026-09-03 12:00:00+00:00,11.78768,12.66502,12,1.5354887720335404,12282.374687496287
2026-09-13 12:00:00+00:00,BTC,2026-09-11 12:00:00+00:00,77704.7,77106.2,12,1.532154157059571,12255.701102319508
2026-09-16 12:00:00+00:00,BTC,2026-09-14 12:00:00+00:00,78553.6,75732.9,12,1.5178978258450633,12141.66470893466
2026-09-20 00:00:00+00:00,ADA,2026-09-18 00:00:00+00:00,0.216253,0.222164,12,1.5196430911370515,12155.625086005277
2026-09-20 12:00:00+00:00,BTC,2026-09-18 12:00:00+00:00,80693.8,80878.6,12,1.5246569670362509,12195.73107932297
2026-09-20 12:00:00+00:00,SOL,2026-09-18 12:00:00+00:00,111.16,108.78,12,1.5244663849153712,12194.206612938056
2026-09-20 12:00:00+00:00,ETH,2026-09-18 12:00:00+00:00,2582.73,2612.11,12,1.524275826617257,12192.682337111435
2026-09-23 12:00:00+00:00,DOGE,2026-09-21 12:00:00+00:00,0.0973012,0.0927527,12,1.5070769707541807,12055.10868906269
