timestamp,signals,new_positions,active_positions,gross_exposure,price_pnl,entry_fees,equity
2026-08-14 20:00:00+00:00,0,0,0,0.0,0.0,0.0,10000.0
2026-08-15 00:00:00+00:00,1,1,1,0.25,0.0,1.25,9998.75
2026-08-17 16:00:00+00:00,0,0,1,0.25,-154.65798919478996,0.0,9844.09201080521
2026-08-17 20:00:00+00:00,0,0,1,0.25,0.7765929323764242,0.0,9844.868603737586
2026-08-18 00:00:00+00:00,0,0,1,0.25,-26.009708061925178,0.0,9818.85889567566
2026-08-18 04:00:00+00:00,0,0,1,0.25,12.913372531376652,0.0,9831.772268207036
2026-08-18 08:00:00+00:00,0,0,1,0.25,7.79556951174024,0.0,9839.567837718776
2026-08-18 12:00:00+00:00,0,0,1,0.25,15.165315589276126,0.0,9854.733153308052
2026-08-18 16:00:00+00:00,0,0,1,0.25,-7.3542784726180255,0.0,9847.378874835436
2026-08-18 20:00:00+00:00,0,0,1,0.25,-5.431110315462443,0.0,9841.947764519971
2026-08-19 00:00:00+00:00,0,0,1,0.25,10.880232841383794,0.0,9852.827997361355
2026-08-19 04:00:00+00:00,0,0,1,0.25,-2.3237801880570594,0.0,9850.504217173298
2026-08-19 08:00:00+00:00,0,0,1,0.25,-18.603407397872285,0.0,9831.900809775427
