timestamp,regime,trend_state,vol_state,market_return_30d,btc_return_30d,market_volatility,historical_vol_median,price_pnl,turnover,fees,equity,funding_pnl,funding_observations
2026-08-15 00:00:00+00:00,BEAR_LOW_VOL,BEAR,LOW_VOL,-0.0194329629692817,-0.0243744530578422,0.0067293785097922,0.0142378484568,0.0,0.0,0.0,10000.0,0.0,0.0
2026-08-16 00:00:00+00:00,BEAR_LOW_VOL,BEAR,LOW_VOL,-0.001098707263869,-0.0071215561300805,0.0064321440445661,0.0142378484568,0.0,0.0,0.0,10000.0,0.0,0.0
2026-08-17 00:00:00+00:00,BEAR_LOW_VOL,BEAR,LOW_VOL,-0.0039741913271887,-0.0095415849910743,0.0064637467650115,0.0142378484568,0.0,0.0,0.0,10000.0,0.0,0.0
2026-08-18 00:00:00+00:00,BEAR_LOW_VOL,BEAR,LOW_VOL,-0.0069077616272867,-0.0082790086223563,0.0059842570922808,0.0142378484568,0.0,0.0,0.0,10000.0,0.0,0.0
2026-08-19 00:00:00+00:00,BEAR_LOW_VOL,BEAR,LOW_VOL,-0.0021536986529935,-0.0079598888269889,0.0053796879531501,0.0142378484568,0.0,0.0,0.0,10000.0,0.0,0.0
2026-08-20 00:00:00+00:00,BULL_LOW_VOL,BULL,LOW_VOL,0.0560108089422652,0.0550235839339312,0.0116912170719722,0.0142378484568,0.0,0.0,0.0,9995.0,0.0,0.0
2026-08-21 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.1474878680039479,0.1257677798466858,0.0143388556431539,0.0142378484568,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-22 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.316609892236662,0.1948824387277872,0.0162370435127635,0.0142512279677954,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-23 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.2973445889249875,0.1760916763500704,0.01849693177143,0.014259802733202,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-24 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.3091146415026742,0.2016390267673342,0.0188144016959811,0.0142655702502019,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-25 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.3420902746759943,0.2479893551358678,0.0188042020798982,0.0142746699346507,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-26 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.2684376266151415,0.2126209528423821,0.0192375037870354,0.014285112960265,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-27 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.3280987965048327,0.2456262070404238,0.0173603411445889,0.014290933339416,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-28 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.3027954744960728,0.254036476742542,0.0174952970392032,0.0143049501432256,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-29 00:00:00+00:00,BULL_HIGH_VOL,BULL,HIGH_VOL,0.2573428266379529,0.2096940320169291,0.0147954178327772,0.0143193843897659,0.0,0.0,0.0,10362.73145300326,0.0,0.0
2026-08-30 00:00:00+00:00,BULL_LOW_VOL,BULL,LOW_VOL,0.251895702510767,0.2152154066996063,0.0119081187376372,0.0143232622608877,0.0,0.0,0.0,10357.55008727676,0.0,0.0
2026-08-31 00:00:00+00:00,BULL_LOW_VOL,BULL,LOW_VOL,0.2533754107885678,0.2350803831445624,0.0125877697049052,0.0143232622608877,0.0,0.0,0.0,10470.650690561832,0.0,0.0
2026-09-01 00:00:00+00:00,BULL_LOW_VOL,BULL,LOW_VOL,0.2645241526812242,0.24078797716456313,0.011828885638818171,0.014316698680943676,0.0,0.0,0.0,10419.715441038432,0.0,0.0
